object_in_context,identifier,collection,collection_identifier,subject_topical 1,subject_topical_authority 1,subject_topical 2,subject_topical_authority 2,subject_geographic 1,language,extent,publisher,type,form,form_URI,internet_media_type,date_single,date_qualifier,date_text,title,series_title,title_part,rights,repository,name,name_authority,name_URI,name_type,name_role,name_role_URI,record_source,note,file_url,filename,record_creation_date
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=919,airscoop_vol1-no23,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,3/11/1944,,3/11/1944,"Air-Scoop. Volume 1, Number 23",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no23/airscoop_vol1-no23_0001.jpg.t.jpg,airscoop_vol1-no23_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=907,airscoop_vol1-no12,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,12/25/1943,,12/25/1943,"Air-Scoop : 63rd C.T.D., hot pilot. Volume 1, Number 12",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no12/airscoop_vol1-no12_0001.jpg.t.jpg,airscoop_vol1-no12_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=921,airscoop_vol1-no25,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,3/25/1944,,3/25/1944,"Air-Scoop. Volume 1, Number 25",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no25/airscoop_vol1-no25_0001.jpg.t.jpg,airscoop_vol1-no25_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=910,airscoop_vol1-no15,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,1/15/1944,,1/15/1944,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 15",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no15/airscoop_vol1-no15_0001.jpg.t.jpg,airscoop_vol1-no15_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=927,airscoop_vol1-no7,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,11/22/1943,,11/22/1943,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 7",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no7/airscoop_vol1-no7_0001.jpg.t.jpg,airscoop_vol1-no7_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=915,airscoop_vol1-no2,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,10/16/1943,,10/16/1943,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 2",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no2/airscoop_vol1-no2_0001.jpg.t.jpg,airscoop_vol1-no2_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=923,airscoop_vol1-no3,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,10/23/1943,,10/23/1943,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 3",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",naf,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no3/airscoop_vol1-no3_0001.jpg.t.jpg,airscoop_vol1-no3_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=917,airscoop_vol1-no21,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,2/26/1944,,2/26/1944,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 21",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",naf,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no21/airscoop_vol1-no21_0001.jpg.t.jpg,airscoop_vol1-no21_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=908,airscoop_vol1-no13,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,1/1/1944,,1/1/1944,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 13",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",naf,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no13/airscoop_vol1-no13_0001.jpg.t.jpg,airscoop_vol1-no13_0001.jpg,2015-01-09T05:07:41Z
http://digital.lib.utk.edu/mpds/?ckey=airscoop&iid=925,airscoop_vol1-no5,"University of Tennessee Aviation Cadets Collection, 1943-1944",MS.2816,University of Tennessee (Knoxville campus)--Students--Newspapers--1943-1944,lcsh,Student newspapers and periodicals–Tennessee–Knoxville--1943-1944,lcsh,"Knoxville (Tenn.) | http://id.loc.gov/authorities/names/n79109786 | 35.96064N, 83.92074W",eng,4 newspaper pages,University of Tennessee,text,periodicals,http://vocab.getty.edu/aat/300026657,image/jpeg,11/6/1943,,11/6/1943,"Air scoop : 63rd C.T.D., hot pilot. Volume 1, Number 5",Air scoop,,"This compilation is copyrighted by the University of
Tennessee. Images, text, or other content downloaded from the
collection may be freely used for non-profit educational
and research purposes, or any other use falling
within the purview of ""Fair Use."" For any other use,
contact the University of Tennessee Libraries. ","University of Tennessee, Knoxville. Special Collections","United States. Army Air Forces. College Training Detachment, 63rd.",naf,,corporate,Creator,http://id.loc.gov/vocabulary/relators/cre,"University of Tennessee, Knoxville. Libraries",Publications by students,http://digital.lib.utk.edu/mpds/data/airscoop/airscoop_vol1-no5/airscoop_vol1-no5_0001.jpg.t.jpg,airscoop_vol1-no5_0001.jpg,2015-01-09T05:07:41Z
